0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,4,0,0,3,0,0,2,3,0,0,0,0,0,2,0,0,0
0,0,0,89,0,0,0,0,0,2,1,0,0,28,0,0,0,0,0,0
0,0,0,9,0,0,3,3,0,0,4,0,0,14,0,0,2,0,0,0
65,0,0,9,12,0,31,8,0,2,3,0,0,0,2,0,32,10,0,0
46,2,1,15,8,0,10,6,0,5,18,2,0,0,0,0,16,5,0,0
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
27,0,0,24,4,1,9,2,18,2,2,2,0,0,0,0,17,3,10,0
4,0,0,24,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0
1,0,0,2,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0
12,0,0,9,0,0,1,1,6,1,1,0,0,0,0,0,2,0,0,0
0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2,0,1,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
14,0,0,8,2,1,6,2,14,1,8,0,0,0,0,0,5,2,0,0
27,1,0,4,5,0,3,3,7,2,9,0,0,0,0,0,5,0,0,0
11,1,0,6,4,0,2,0,14,2,2,7,0,0,0,0,10,1,5,0
8,0,0,14,6,0,1,1,8,2,1,1,0,0,0,0,4,4,7,0
7,0,0,5,3,1,4,3,1,3,2,0,0,0,0,0,8,0,0,0
1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0
3,0,0,0,1,1,1,1,3,1,1,3,0,0,0,0,3,0,0,0
7,0,0,3,2,0,2,0,0,2,5,2,0,0,0,0,4,0,0,0
4,0,0,48,2,0,3,9,0,1,0,0,0,5,0,0,2,1,0,0
2,0,0,5,1,0,1,1,2,3,0,1,0,0,0,0,2,0,0,0
0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,0,0,17,7,0,8,5,2,0,5,5,1,19,0,0,16,0,0,0
1,0,0,2,0,0,2,1,3,0,0,0,0,0,0,0,5,1,0,0
8,0,0,10,1,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0
4,0,0,5,3,0,0,0,0,2,0,1,0,0,0,0,2,1,0,0
12,0,0,44,6,0,5,4,0,1,2,2,1,24,0,0,9,9,0,0
4,0,0,19,2,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0
18,2,0,8,3,1,8,1,0,1,5,2,0,0,0,0,5,6,0,0
0,0,0,0,1,0,0,2,1,1,1,1,0,0,0,0,2,0,0,0
1,0,1,16,0,0,2,0,3,2,0,0,0,0,0,0,2,0,0,0
3,0,0,13,0,0,1,0,4,2,1,1,0,0,0,0,2,2,0,0
4,0,1,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0
25,0,0,4,6,0,8,2,5,1,0,0,0,0,0,0,20,2,0,0
6,0,0,4,5,1,2,0,3,2,1,2,0,0,0,0,5,1,0,0
0,0,0,3,0,0,3,2,2,0,0,0,0,0,1,0,2,0,0,0
1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0
1,0,0,1,0,0,2,1,4,0,1,1,0,0,0,0,2,0,0,0
123,0,0,44,20,3,42,11,8,0,12,9,0,0,0,0,56,17,0,0
2,0,0,4,2,0,1,0,3,2,3,2,0,0,0,0,2,0,0,0
2,0,0,5,1,0,1,2,1,3,3,0,0,0,0,0,1,0,0,0
1,0,0,2,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0
2,0,0,0,2,0,0,1,0,3,2,1,0,0,0,0,1,1,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5
3,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
78,0,0,7,9,1,14,4,1,1,6,7,0,0,0,0,23,1,0,0
9,0,0,22,5,0,3,2,1,10,6,3,0,0,0,0,3,4,0,0
6,0,1,8,5,0,3,3,0,5,5,3,0,0,0,0,5,1,0,0
10,0,0,2,3,0,3,0,6,2,4,0,0,0,0,0,4,2,0,0
9,0,0,1,2,0,0,0,3,1,1,0,0,0,0,0,3,0,0,0
2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
10,0,0,17,2,0,1,3,3,0,1,0,0,0,0,0,3,1,0,0
31,0,0,56,6,0,8,1,14,0,10,5,1,0,1,0,9,5,0,0
3,0,0,8,1,2,0,2,0,4,0,1,0,0,0,0,1,2,0,0
9,0,0,3,0,0,1,0,0,1,3,0,0,0,0,0,3,0,0,0
1,0,0,12,2,0,2,0,0,0,1,0,1,4,0,0,5,1,0,0
